Jurisdiction,Prob,Topic,Accuracy
  South Carolina  ,0.9468732749466143, 6 , 0.773530
    South Dakota  ,0.8675853089027105, 6 , 0.518841
       Tennessee  ,0.8891184389849579, 6 , 0.772683
           Texas  ,0.926198803323808, 6 , 0.781455
            Utah  ,0.5229008921861684, 6 , 0.658120
         Vermont  ,0.9678990366310576, 6 , 0.757003
        Virginia  ,0.9225800886193904, 6 , 0.744030
      Washington  ,0.8867109414133707, 6 , 0.760911
   West Virginia  ,0.9500327226293782, 6 , 0.803257
       Wisconsin  ,0.9663165213633093, 6 , 0.796875
         Wyoming  ,0.849084881685569, 6 , 0.772059
         Alabama  ,0.8612791533349342,  7,  0.673761
          Alaska  ,0.9563387521050543,  7,  0.773333
         Arizona  ,0.8779906772745901,  7,  0.607045
        Arkansas  ,0.8577762027683323,  7,  0.639275
      California  ,0.9040813634729008,  7,  0.759723
        Colorado  ,0.8337337029444678,  7,  0.456304
     Connecticut  ,0.9926137264592393,  7,  0.959012
        Delaware  ,0.8162690940038979,  7,  0.619502
         Florida  ,0.984664501971188,  7,  0.894767
         Georgia  ,0.8465245604338069,  7,  0.786405
          Hawaii  ,0.9495401399344675,  7,  0.817999
           Idaho  ,0.945462596306898,  7,  0.831207
        Illinois  ,0.965630030838807,  7,  0.840327
         Indiana  ,0.9683077869060281,  7,  0.915281
            Iowa  ,0.9451544961183256,  7,  0.831762
          Kansas  ,0.9567003280860122,  7,  0.244444
        Kentucky  ,0.8331235408268987,  7,  0.592082
       Louisiana  ,0.8163828626628494,  7,  0.664523
           Maine  ,0.9146181110301849,  7,  0.572934
        Maryland  ,0.8972923375986063,  7,  0.712632
   Massachusetts  ,0.9967653670354895,  7,  0.835189
        Michigan  ,0.9144841683532791,  7,  0.745158
       Minnesota  ,0.9945556619799987,  7,  0.882106
     Mississippi  ,0.9674143381835831,  7,  0.814174
        Missouri  ,0.9915215178321757,  7,  0.572464
         Montana  ,0.788758588656584,  7,  0.751509
        Nebraska  ,0.9999998167173388,  7,  0.808477
          Nevada  ,0.8478160402373989,  7,  0.562500
   New Hampshire  ,0.7278707258214276,  7,  0.611953
      New Jersey  ,0.9750731605781527,  7,  0.892043
      New Mexico  ,0.9858810196339464,  7,  0.769367
        New York  ,0.9800110834331143,  7,  0.884725
  North Carolina  ,0.945575027528259,  7,  0.785770
    North Dakota  ,0.8331816708325831,  7,  0.618432
            Ohio  ,0.964564062463792,  7,  0.793103
        Oklahoma  ,0.89672838640743,  7,  0.797196
          Oregon  ,0.9593392674575191,  7,  0.876024
    Pennsylvania  ,0.9099701843846503,  7,  0.634787
    Rhode Island  ,0.9007107445979394,  7,  0.617627
  South Carolina  ,0.9475672215444588,  7,  0.785737
    South Dakota  ,0.8689348475220996,  7,  0.528986
       Tennessee  ,0.8888099112984701,  7,  0.773335
           Texas  ,0.9257633390378788,  7,  0.754237
            Utah  ,0.5298468969545413,  7,  0.655331
         Vermont  ,0.9658967252912192,  7,  0.742297
        Virginia  ,0.9249357807192887,  7,  0.737102
      Washington  ,0.8525402445614032,  7,  0.747183
   West Virginia  ,0.9514419057372268,  7,  0.792902
       Wisconsin  ,0.967907015606717,  7,  0.781696
         Wyoming  ,0.7908241753648071,  7,  0.795956
         Alabama  ,0.8851513731274362,  8,  0.665991
          Alaska  ,0.9515716511176493,  8,  0.880000
         Arizona  ,0.8981511330028483,  8,  0.669164
        Arkansas  ,0.8716530599927255,  8,  0.721871
      California  ,0.9021255967875799,  8,  0.761581
        Colorado  ,0.8350474577830374,  8,  0.461436
     Connecticut  ,0.9925952698810018,  8,  0.932994
        Delaware  ,0.8273812563162798,  8,  0.663752
         Florida  ,0.9843398542840248,  8,  0.869877
         Georgia  ,0.8620706262497104,  8,  0.794307
          Hawaii  ,0.9504003149755583,  8,  0.820805
           Idaho  ,0.9453417143573445,  8,  0.832878
        Illinois  ,0.9648793757415067,  8,  0.841155
         Indiana  ,0.9683430881420347,  8,  0.915004
            Iowa  ,0.9451282465793657,  8,  0.833399
          Kansas  ,0.9995504687171369,  8,  0.977778
        Kentucky  ,0.8279566685692336,  8,  0.528172
       Louisiana  ,0.817310513747324,  8,  0.696931
           Maine  ,0.9138779659514624,  8,  0.596075
        Maryland  ,0.8961382280188277,  8,  0.716541
   Massachusetts  ,0.9971624166192062,  8,  0.853393
        Michigan  ,0.9207160455366046,  8,  0.735589
